kor	wuu
tɕʌŋtɕʰiɑk	tsenzrhhiaq
tɕʌn	tsoe
tɛɡɑ	daka
sʌŋdʑwa	xinzu
kujʌk	qyhhioq
pɛkp*u	paqvu
muwaɡwa	hhuhoku
sɑŋɑ	xxiannga
kɯmjuŋ	jinhhion
suwi	seuhhue
soɑk	xiauhhoq
hɛŋbok	hhinfoq
hjʌl	hhyq
tɕɛɡuk	tikoq
kuin	qieuhhin
sɑŋ	saan
tɕɑŋdu	xxiandeu
pidɑn	fide
tɕʰʌmbjʌn	thipi
suks*u	zoqseu
lowi	luhhue
kɑn	koe
piɾjo	viliau
hu	hheu
tɕi	tsr
tɕuŋnwɛ	tsonnau
ok	nyoq
sɛɡjɛ	srka
ju	hhieu
pɛŋmo	paqmm
siŋɡjʌŋ	zenjin
sɑmnjuntɕʰɑ	selentsho
tɑnsu	tesu
pon	pen
tɕʰʌl	thiq
pʰoɰi	paui
tɕʰɑm	tshe
moktʰɑn	moqthe
nɑmjaŋ	noehhian
sʌŋ	zen
hɑks*ɛŋ	hhoqsan
tʰɑɾɑŋ	theqkaan
njʌmbo	nyipu
tɕɑŋwi	zanhhue
tɕʌŋjuk	jinnyioq
poŋmil	fonmiq
hwaɾju	holieu
hwaɾo	hulu
pisʌ	pisr
tɕɯŋsonnjʌ	tsensennyy
suɯm	seuhhin
mokk*oŋ	moqkon
to	du
waŋwaŋ	uaanuaan
tɕʰodu	tshaudeu
kukwa	jyqho
pʰuŋsu	fonsr
ɰiɡjʌn	iji
tɕʰʌp	diq
puntɕʰɛ	phenthi
sosʌl	xiauseq
jʌk	hhiq
kɛboŋ	khefon
tɕok	zoq
hwapʰɑn	hobe
kɛŋ	khan
sobjʌn	xiaubi
kodɛ	kude
hok	hhoq
tu	deu
tɕʌnnjʌn	xxinyi
min	min
simdʑiʌ	zentsrhhy
lju	le
sin	xin
koɡwa	khuko
kwaŋɡo	kuaankau
kiɡoŋ	qikon
tɕomo	tsumu
mo	mu
su	seu
iŋbu	hhynvu
kwan	kue
tɕʌmmun	tsoemen
tɕʌŋɡwaŋ	dikuaan
tɕosin	tsauzen
wʌnjʌŋ	nyyoehhin
tʰɯkp*jʌl	deqbiq
mummjʌŋ	venmin
sɑm	se
tɑlljʌn	toeli
tɕil	xxiq
sɑŋpʰuŋ	saanfon
si	sr
tɕʰuks*ɛŋ	tshoqsaan
hwasim	hoxin
pjʌl	beq
koŋdʑi	khondi
tɕɯŋ	tsen
ɑn	oe
kok	koq
hjʌn	hhyoe
waŋu	hhuaanhheu
tɕʰʌmmun	thiven
pjʌn	pi
pʌn	fe
tɕʌŋ	tin
tɕilljaŋ	tseqlian
idʑʌn	ixxi
mumpʰɛ	menba
ɑkp*u	ngoqvu
tɕʰu	tsheu
loɾɑŋ	launyian
ki	gue
siwʌl	zeqhhyq
in	nyin
ku	eu
pukt*usʌŋ	poqteuxin
kɑbɑl	jiafaq
sʌŋbjʌl	xinbiq
sɑnu	sehhy
sinjoŋ	xinhhion
mɛil	'menyiq
sɑŋbɑk	xianphoq
kɑkt*ɯk	koqteq
tɕu	tseu
tɕɛil	diiq
tɕʰʌn	qi
sʌŋdɛ	sende
ɰidʑɑ	itsr
sɛɡi	srji
tʰɛɡi	theqi
tɑsil	zoseq
ljuk	loq
hɑɾju	hhulieu
kɛsi	khesr
tɕil	tseq
tɕudʑo	jieutsau
kɯk	jjiq
siʌm	srnyi
sutɕʰɑ	srtsho
kwaɑk	khuhhiaq
kwɛ	gue
ik	hhiq
pʌm	ve
tɕʌn	xxi
pok	foq
mɑŋ	maan
poɡo	paukau
mok	moq
ɑŋɡwaŋ	ngekuaan
pʰuŋsʌl	fonxiq
mjo	miau
sudo	srdau
noŋdʑɑŋ	nonzan
li	li
mɑl	meq
sʌŋdʑo	sendiau
tɕidʑin	ditsen
soŋ	zon
jaŋjuk	hhiannyioq
kɑdʑɑ	gatsr
tɯk	teq
jʌm	hhi
koɡɛk	kukhaq
pɑndʑɑŋ	petsan
tɕʌŋsɑ	tsenxia
tɕuŋsin	zonxin
jakpʰum	hhiaqphin
ɰisɑŋ	izaan
kɑn	ji
tɕʌntʰoŋ	zoethon
tɕʰʌnɑ	thingu
kɑsu	kuseu
u	hhy
kuŋ	kon
pu	vu
tɕoɡʌn	diaujji
tɕoŋ	tson
joɡu	iaujjieu
ilbjʌn	iqpi
tɕoŋ	tson
moŋnɑn	moqle
tɕɛ	ji
ɑndʑʌŋ	oexxin
pok	voq
hoɡɯm	hhujjin
wado	ngotau
tɛju	dahhieu
joŋ	hhion
jaja	hhiahhia
hjɛsʌŋ	hhuexin
kjɛ	gue
sɛŋni	sanli
tosʌ	dusr
sip	zeq
mɑndʑu	moetseu
pʰo	pau
kuŋmin	koqmin
ljaŋsik	lianzeq
kwalli	kuoeli
tɕʰʌndʑu	thitsr
kɛdʑʌm	kheti
kɯn	ken
pʌmdʑwɛ	vezoe
tɑɡu	zojy
kwaɡʌ	kuqi
ko	ku
tɕʰɑdʑi	tshrdi
hwɛtɕʰuŋ	hhuezon
siɑk	srhhiaq
sɑɡwa	srko
pʰuŋɡɯm	fonjjin
kɑno	koehhu
waŋbʌp	hhuaanfaq
jʌŋʌ	innyy
pʰɑ	pha
kjɛ	ji
kju	kue
ljʌm	li
